WarLength,Loss chance,Avg Time,stdev,Avg transport Loss, stdDev, Avg Cargo Delivered, stdDev, Avg Cargo Lost, stdDev,LegCount, stdDev
6,0.0,52560.0,0.0,0.0,0.0,7.3E8,0.0,0.0,0.0,146.0,0.0
6,0.001,52560.0,0.0,134.55,11.004664082967157,6.79782544E8,5333152.068495802,666500.0,86284.41342444185,146.0,0.0
6,0.002,52560.0,0.0,251.65,13.788916220150002,6.337289728E8,6983623.6201027185,1276000.0,91674.48132558912,146.0,0.0
6,0.003,52560.0,0.0,355.0,15.891076608885683,5.922630176E8,8908592.767783923,1816000.0,128530.15210447702,146.0,0.0
6,0.004,52560.0,0.0,440.9,17.50458586530368,5.537320256E8,7272159.20729415,2225000.0,149120.22701586515,146.0,0.0
6,0.0050000004,52560.0,0.0,515.85,15.159763225480521,5.191094944E8,6500520.739544539,2626500.0,152463.11029229334,146.0,0.0
6,0.0060000005,52560.0,0.0,581.7,15.89471941442056,4.870139984E8,7384279.050437771,2962500.0,132540.9569271246,146.0,0.0
6,0.0070000007,52560.0,0.0,637.75,14.111865108556886,4.570040336E8,6466121.014282221,3249000.0,135137.35702298567,146.0,0.0
6,0.008,52560.0,0.0,685.2,13.535917133005023,4.310974992E8,6905264.677626421,3437000.0,149529.08535940776,146.0,0.0
6,0.009000001,52560.0,0.0,727.2,10.704647293779022,4.070024672E8,6657150.9790260205,3677000.0,139363.2134501709,146.0,0.0
6,0.010000001,52560.0,0.0,763.3,10.39787427668195,3.845774992E8,6960856.999728346,3864000.0,155678.48108741365,146.0,0.0
6,0.011000001,52560.0,0.0,794.75,10.646842872790728,3.638134752E8,7558450.262670973,3971500.0,123598.4585153408,146.0,0.0
6,0.012000001,52560.0,0.0,821.4,8.683923440230773,3.456125312E8,7421457.958122823,4208500.0,188128.59543687827,146.0,0.0
6,0.013000001,52560.0,0.0,845.15,8.13876364592378,3.284719952E8,7393208.858035579,4257000.0,145894.69886837815,146.0,0.0
6,0.014000001,52560.0,0.0,867.5,7.486830542956569,3.122214912E8,6739476.289740227,4374500.0,140393.24470178306,146.0,0.0
6,0.0150000015,52560.0,0.0,884.5,7.416198487095663,2.97734512E8,6143936.917566506,4428000.0,169351.70504013236,146.0,0.0
6,0.016,52560.0,0.0,900.7,9.200114415764507,2.837385088E8,6162298.743494598,4498000.0,131172.84699766827,146.0,0.0
6,0.017,52560.0,0.0,914.45,8.798773838020361,2.710220024E8,5534107.364974736,4634500.0,173189.1269225944,146.0,0.0
6,0.018000001,52560.0,0.0,925.65,7.761409258904631,2.593465E8,5392001.16644529,4704000.0,191569.69324092226,146.0,0.0
