WarLength,Loss chance,Avg Time,stdev,Avg transport Loss, stdDev, Avg Cargo Delivered, stdDev, Avg Cargo Lost, stdDev,LegCount, stdDev
6,0.0,52560.0,0.0,0.0,0.0,4.015E7,0.0,0.0,0.0,146.0,0.0
6,0.001,52560.0,0.0,134.55,11.004664082967157,3.7388038E7,293325.8858051372,36657.5,4745.6427383443015,146.0,0.0
6,0.002,52560.0,0.0,251.65,13.788916220150002,3.48550966E7,384098.5384891692,70180.0,5042.096472907401,146.0,0.0
6,0.003,52560.0,0.0,355.0,15.891076608885683,3.2574465E7,489970.9032982952,99880.0,7069.158365746237,146.0,0.0
6,0.004,52560.0,0.0,440.9,17.50458586530368,3.045526E7,399969.0009698778,122375.0,8201.612485872583,146.0,0.0
6,0.0050000004,52560.0,0.0,515.85,15.159763225480521,2.85510225E7,357528.0322005682,144457.5,8385.471066076134,146.0,0.0
6,0.0060000005,52560.0,0.0,581.7,15.89471941442056,2.678577E7,406136.1935814661,162937.5,7289.752630991852,146.0,0.0
6,0.0070000007,52560.0,0.0,637.75,14.111865108556886,2.513522E7,355637.457473049,178695.0,7432.554636264212,146.0,0.0
6,0.008,52560.0,0.0,685.2,13.535917133005023,2.37103625E7,379788.01666019455,189035.0,8224.099694767427,146.0,0.0
6,0.009000001,52560.0,0.0,727.2,10.704647293779022,2.23851375E7,366142.05392349535,202235.0,7664.9767397594,146.0,0.0
6,0.010000001,52560.0,0.0,763.3,10.39787427668195,2.11517625E7,382848.19579010276,212520.0,8562.316459807751,146.0,0.0
6,0.011000001,52560.0,0.0,794.75,10.646842872790728,2.00097425E7,415715.03596213594,218432.5,6797.915218343744,146.0,0.0
6,0.012000001,52560.0,0.0,821.4,8.683923440230773,1.90086875E7,408178.9880467817,231467.5,10347.072749028306,146.0,0.0
6,0.013000001,52560.0,0.0,845.15,8.13876364592378,1.806596E7,406627.0574397445,234135.0,8024.208437760798,146.0,0.0
6,0.014000001,52560.0,0.0,867.5,7.486830542956569,1.71721825E7,370670.67674511863,240597.5,7721.628458598069,146.0,0.0
6,0.0150000015,52560.0,0.0,884.5,7.416198487095663,1.63753975E7,337916.30405479495,243540.0,9314.343777207281,146.0,0.0
6,0.016,52560.0,0.0,900.7,9.200114415764507,1.56056175E7,338926.39911894855,247390.0,7214.506584871753,146.0,0.0
6,0.017,52560.0,0.0,914.45,8.798773838020361,1.490621E7,304375.84695656504,254897.5,9525.401980742694,146.0,0.0
6,0.018000001,52560.0,0.0,925.65,7.761409258904631,1.42640575E7,296560.06415449094,258720.0,10536.333128250722,146.0,0.0
6,0.019000001,52560.0,0.0,934.5,6.549407365716784,1.36527875E7,341876.20715653326,261552.5,7850.452132470494,146.0,0.0
6,0.020000001,52560.0,0.0,943.65,7.220402379806529,1.3083125E7,350359.31574824575,263147.5,8534.519303208712,146.0,0.0
6,0.021000002,52560.0,0.0,951.65,7.154498033074239,1.2562935E7,314102.1414913844,264275.0,8380.200663343017,146.0,0.0
6,0.022000002,52560.0,0.0,957.75,6.679702167958657,1.207393E7,298306.58699080924,266227.5,7060.313005585667,146.0,0.0
6,0.023000002,52560.0,0.0,963.4,6.451438028190223,1.159741E7,317102.3255902373,266640.0,7489.529533393867,146.0,0.0
6,0.024000002,52560.0,0.0,968.6,4.805698371944006,1.1184525E7,307428.0427146626,269307.5,7167.2918433967125,146.0,0.0
6,0.025000002,52560.0,0.0,973.3,4.9000537053984905,1.0780715E7,287591.5236928933,270902.5,7661.600681319797,146.0,0.0
